prompt,base_avg_prefix,q4_avg_prefix,d_avg_prefix,base_p1_match,q4_p1_match,d_p1_match,tokens_differ,tokens_total,base_match_pct,q4_match_pct
code_histogram,3.125,4.25,1.125,0.75,0.875,0.125,1,14,80.0,90.0
code_sort_pairs,2.625,2.625,0.0,0.75,0.75,0.0,0,14,57.5,57.5
code_topk,2.625,2.75,0.125,0.75,0.75,0.0,0,14,52.5,55.0
grounded_archive,2.875,2.875,0.0,0.875,0.875,0.0,0,14,57.5,57.5
grounded_observatory,1.375,1.125,-0.25,0.75,0.625,-0.125,9,14,35.0,35.0
grounded_repair,2.375,3.125,0.75,0.75,1.0,0.25,9,14,52.5,72.5
mixed_exactness_smoke,1.75,1.375,-0.375,0.875,0.5,-0.375,10,14,35.0,32.5
synthesis_incident_json,2.75,2.875,0.125,1.0,1.0,0.0,3,14,57.5,60.0
synthesis_ops_json,1.75,1.75,0.0,0.75,0.75,0.0,0,14,40.0,42.5
synthesis_timeline_json,2.125,1.625,-0.5,0.875,0.75,-0.125,1,14,42.5,37.5
